"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Oct 19 19:54:53 GMT 2024","Sat Oct 19 19:54:53 GMT 2024","425","chromium","demo-todo-app.spec.ts","Routing","","","should highlight the currently applied filter",""
"passed","Sat Oct 19 19:54:49 GMT 2024","Sat Oct 19 19:54:49 GMT 2024","357","chromium","demo-todo-app.spec.ts","Counter","","","should display the current number of todo items",""
"passed","Sat Oct 19 19:54:51 GMT 2024","Sat Oct 19 19:54:52 GMT 2024","463","chromium","demo-todo-app.spec.ts","Routing","","","should allow me to display active items",""
"passed","Sat Oct 19 19:54:51 GMT 2024","Sat Oct 19 19:54:51 GMT 2024","446","chromium","demo-todo-app.spec.ts","Persistence","","","should persist its data",""
"passed","Sat Oct 19 19:54:52 GMT 2024","Sat Oct 19 19:54:52 GMT 2024","529","chromium","demo-todo-app.spec.ts","Routing","","","should respect the back button",""
"passed","Sat Oct 19 19:54:45 GMT 2024","Sat Oct 19 19:54:46 GMT 2024","432","chromium","demo-todo-app.spec.ts","Item","","","should allow me to mark items as complete",""
"passed","Sat Oct 19 19:54:50 GMT 2024","Sat Oct 19 19:54:51 GMT 2024","463","chromium","demo-todo-app.spec.ts","Clear completed button","","","should be hidden when there are no items that are completed",""
"passed","Sat Oct 19 19:54:44 GMT 2024","Sat Oct 19 19:54:45 GMT 2024","465","chromium","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to clear the complete state of all items",""
"passed","Sat Oct 19 19:54:41 GMT 2024","Sat Oct 19 19:54:42 GMT 2024","722","chromium","demo-todo-app.spec.ts","New Todo","","","should allow me to add todo items",""
"passed","Sat Oct 19 19:54:47 GMT 2024","Sat Oct 19 19:54:47 GMT 2024","413","chromium","demo-todo-app.spec.ts","Editing","","","should hide other controls when editing",""
"passed","Sat Oct 19 19:54:49 GMT 2024","Sat Oct 19 19:54:50 GMT 2024","446","chromium","demo-todo-app.spec.ts","Clear completed button","","","should display the correct text",""
"passed","Sat Oct 19 19:54:50 GMT 2024","Sat Oct 19 19:54:50 GMT 2024","470","chromium","demo-todo-app.spec.ts","Clear completed button","","","should remove completed items when clicked",""
"passed","Sat Oct 19 19:54:43 GMT 2024","Sat Oct 19 19:54:43 GMT 2024","334","chromium","demo-todo-app.spec.ts","New Todo","","","should clear text input field when an item is added",""
"passed","Sat Oct 19 19:54:47 GMT 2024","Sat Oct 19 19:54:48 GMT 2024","423","chromium","demo-todo-app.spec.ts","Editing","","","should save edits on blur",""
"passed","Sat Oct 19 19:54:52 GMT 2024","Sat Oct 19 19:54:53 GMT 2024","430","chromium","demo-todo-app.spec.ts","Routing","","","should allow me to display completed items",""
"passed","Sat Oct 19 19:54:46 GMT 2024","Sat Oct 19 19:54:47 GMT 2024","445","chromium","demo-todo-app.spec.ts","Item","","","should allow me to edit an item",""
"passed","Sat Oct 19 19:54:48 GMT 2024","Sat Oct 19 19:54:49 GMT 2024","445","chromium","demo-todo-app.spec.ts","Editing","","","should cancel edits on escape",""
"passed","Sat Oct 19 19:54:53 GMT 2024","Sat Oct 19 19:54:53 GMT 2024","507","chromium","demo-todo-app.spec.ts","Routing","","","should allow me to display all items",""
"passed","Sat Oct 19 19:54:45 GMT 2024","Sat Oct 19 19:54:45 GMT 2024","538","chromium","demo-todo-app.spec.ts","Mark all as completed","","","complete all checkbox should update state when items are completed / cleared",""
"passed","Sat Oct 19 19:54:48 GMT 2024","Sat Oct 19 19:54:48 GMT 2024","428","chromium","demo-todo-app.spec.ts","Editing","","","should remove the item if an empty text string was entered",""
"passed","Sat Oct 19 19:54:46 GMT 2024","Sat Oct 19 19:54:46 GMT 2024","472","chromium","demo-todo-app.spec.ts","Item","","","should allow me to un-mark items as complete",""
"passed","Sat Oct 19 19:54:44 GMT 2024","Sat Oct 19 19:54:44 GMT 2024","427","chromium","demo-todo-app.spec.ts","Mark all as completed","","","should allow me to mark all items as completed",""
"passed","Sat Oct 19 19:54:48 GMT 2024","Sat Oct 19 19:54:48 GMT 2024","428","chromium","demo-todo-app.spec.ts","Editing","","","should trim entered text",""
"passed","Sat Oct 19 19:54:43 GMT 2024","Sat Oct 19 19:54:44 GMT 2024","403","chromium","demo-todo-app.spec.ts","New Todo","","","should append new items to the bottom of the list",""
